#,Date-Time (CEST/CET),Temperature   (°C),RH   (%),Dew Point   (°C),Host Connected,End of File
1,05/02/2025 00:00:00,10.71,82.72,7.90,,
2,05/02/2025 00:10:00,10.94,82.60,8.10,,
3,05/02/2025 00:20:00,11.04,81.54,8.02,,
4,05/02/2025 00:30:00,10.90,80.84,7.76,,
5,05/02/2025 00:40:00,10.67,82.32,7.79,,
6,05/02/2025 00:50:00,10.60,82.62,7.78,,
7,05/02/2025 01:00:00,10.52,82.66,7.70,,
8,05/02/2025 01:10:00,10.42,84.01,7.85,,
9,05/02/2025 01:20:00,10.40,83.03,7.65,,
10,05/02/2025 01:30:00,10.39,83.87,7.79,,
11,05/02/2025 01:40:00,10.37,85.23,8.01,,
12,05/02/2025 01:50:00,10.28,82.36,7.42,,
13,05/02/2025 02:00:00,10.11,84.20,7.58,,
14,05/02/2025 02:10:00,10.08,84.84,7.65,,
15,05/02/2025 02:20:00,10.06,85.17,7.69,,
16,05/02/2025 02:30:00,10.08,85.67,7.80,,
17,05/02/2025 02:40:00,10.01,84.96,7.61,,
18,05/02/2025 02:50:00,10.05,85.46,7.73,,
19,05/02/2025 03:00:00,10.10,85.26,7.75,,
20,05/02/2025 03:10:00,10.18,84.21,7.64,,
21,05/02/2025 03:20:00,10.19,83.50,7.53,,
22,05/02/2025 03:30:00,10.19,83.05,7.45,,
23,05/02/2025 03:40:00,10.27,82.03,7.35,,
24,05/02/2025 03:50:00,10.41,81.30,7.36,,
25,05/02/2025 04:00:00,10.69,80.74,7.53,,
26,05/02/2025 04:10:00,10.73,79.63,7.37,,
27,05/02/2025 04:20:00,10.63,79.94,7.32,,
28,05/02/2025 04:30:00,10.49,79.05,7.02,,
29,05/02/2025 04:40:00,10.48,79.53,7.10,,
30,05/02/2025 04:50:00,10.48,79.41,7.08,,
31,05/02/2025 05:00:00,10.43,79.12,6.98,,
32,05/02/2025 05:10:00,10.39,80.12,7.12,,
33,05/02/2025 05:20:00,10.46,79.77,7.13,,
34,05/02/2025 05:30:00,10.55,79.41,7.15,,
35,05/02/2025 05:40:00,10.59,80.15,7.33,,
36,05/02/2025 05:50:00,10.59,79.82,7.27,,
37,05/02/2025 06:00:00,10.56,79.75,7.22,,
38,05/02/2025 06:10:00,10.46,79.61,7.10,,
39,05/02/2025 06:20:00,10.21,81.12,7.13,,
40,05/02/2025 06:30:00,10.11,81.12,7.03,,
41,05/02/2025 06:40:00,10.15,82.19,7.26,,
42,05/02/2025 06:50:00,10.26,82.54,7.43,,
43,05/02/2025 07:00:00,10.46,82.29,7.59,,
44,05/02/2025 07:10:00,10.89,83.68,8.25,,
45,05/02/2025 07:20:00,11.29,83.25,8.57,,
46,05/02/2025 07:30:00,11.70,83.48,9.00,,
47,05/02/2025 07:40:00,12.11,81.97,9.13,,
48,05/02/2025 07:50:00,12.64,80.30,9.35,,
49,05/02/2025 08:00:00,12.88,80.69,9.65,,
50,05/02/2025 08:10:00,13.29,80.69,10.05,,
51,05/02/2025 08:20:00,13.84,80.65,10.59,,
52,05/02/2025 08:30:00,15.16,77.10,11.20,,
53,05/02/2025 08:40:00,16.46,77.21,12.48,,
